year,segment,day_type,demand_factor,regular,express,priority,self_checkout,total_lanes,profit_mean,profit_std,objetivo_mean,objetivo_std,infra_cost_clp,objective_minus_profit_gap,n_rep,base_profit_mean,base_profit_std,base_objetivo_mean,base_objetivo_std,base_n_rep,objetivo_delta_vs_base,profit_delta_vs_base,year_num
2025,base,TYPE_1,1.0,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2025
2025,base,TYPE_2,1.0,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2025
2025,base,TYPE_3,1.0,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2025
2026,optimista,TYPE_1,1.01256711294606,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2026
2026,optimista,TYPE_2,1.01256711294606,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2026
2026,optimista,TYPE_3,1.01256711294606,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2026
2026,pesimista,TYPE_1,0.9958267130191806,10,3,2,5,20,4166252566.6666665,39923446.733355545,3655941966.6666665,39923446.733355545,510310600.0,0.0,3,4166252566.6666665,39923446.733355545,3655941966.6666665,39923446.733355545,3,0.0,0.0,2026
2026,pesimista,TYPE_2,0.9958267130191806,10,3,2,5,20,2938705102.6666665,22215307.59327769,2428394502.6666665,22215307.59327769,510310600.0,0.0,3,2938705102.6666665,22215307.59327769,2428394502.6666665,22215307.59327769,3,0.0,0.0,2026
2026,pesimista,TYPE_3,0.9958267130191806,15,3,2,5,25,2021062697.3333333,16250801.06399501,1373557097.3333333,16250801.06399501,647505600.0,0.0,3,2021062697.3333333,16250801.06399501,1373557097.3333333,16250801.06399501,3,0.0,0.0,2026
2026,regular,TYPE_1,1.0055919790741517,10,3,2,5,20,4174087944.0,27598080.041669857,3663777344.0,27598080.041669857,510310600.0,0.0,3,4174087944.0,27598080.041669857,3663777344.0,27598080.041669857,3,0.0,0.0,2026
2026,regular,TYPE_2,1.0055919790741517,10,3,2,5,20,2928999632.0,59308025.14707337,2418689032.0,59308025.14707337,510310600.0,0.0,3,2928999632.0,59308025.14707337,2418689032.0,59308025.14707337,3,0.0,0.0,2026
2026,regular,TYPE_3,1.0055919790741517,15,3,2,5,25,2062067678.6666667,54448079.34318497,1414562078.6666667,54448079.34318497,647505600.0,0.0,3,2062067678.6666667,54448079.34318497,1414562078.6666667,54448079.34318497,3,0.0,0.0,2026
2027,optimista,TYPE_1,1.0252946702967407,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2027
2027,optimista,TYPE_2,1.0252946702967407,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2027
2027,optimista,TYPE_3,1.0252946702967407,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2027
2027,pesimista,TYPE_1,0.9950799377508609,10,3,2,5,20,4151031837.3333335,55696440.96827463,3640721237.3333335,55696440.96827463,510310600.0,0.0,3,4151031837.3333335,55696440.96827463,3640721237.3333335,55696440.96827463,3,0.0,0.0,2027
2027,pesimista,TYPE_2,0.9950799377508609,10,3,2,5,20,2932281473.3333335,7368162.422836602,2421970873.3333335,7368162.422836602,510310600.0,0.0,3,2932281473.3333335,7368162.422836602,2421970873.3333335,7368162.422836602,3,0.0,0.0,2027
2027,pesimista,TYPE_3,0.9950799377508609,15,3,2,5,25,2042988601.3333333,22171148.867628608,1395483001.3333333,22171148.867628608,647505600.0,0.0,3,2042988601.3333333,22171148.867628608,1395483001.3333333,22171148.867628608,3,0.0,0.0,2027
