year,segment,day_type,demand_factor,regular,express,priority,self_checkout,total_lanes,profit_mean,profit_std,objetivo_mean,objetivo_std,infra_cost_clp,objective_minus_profit_gap,n_rep,base_profit_mean,base_profit_std,base_objetivo_mean,base_objetivo_std,base_n_rep,objetivo_delta_vs_base,profit_delta_vs_base,year_num
2025,base,TYPE_1,1.0,10,4,3,0,17,4273940840.0,0.0,3804003040.0,0.0,469937800.0,0.0,1,4273940840.0,0.0,3804003040.0,0.0,1,0.0,0.0,2025
2025,base,TYPE_2,1.0,10,2,4,5,21,3077062612.0,0.0,2537371212.0,0.0,539691400.0,0.0,1,3077062612.0,0.0,2537371212.0,0.0,1,0.0,0.0,2025
2025,base,TYPE_3,1.0,16,3,2,5,26,2141195524.0,0.0,1466250924.0,0.0,674944600.0,0.0,1,2141195524.0,0.0,1466250924.0,0.0,1,0.0,0.0,2025
2026,regular,TYPE_1,1.0055919790741517,11,4,5,0,20,4522835200.0,0.0,3968536400.0,0.0,554298800.0,0.0,1,4264759564.0,0.0,3794821764.0,0.0,1,173714636.0,258075636.0,2026
2026,regular,TYPE_2,1.0055919790741517,12,2,4,5,23,3229975684.0,0.0,2635406284.0,0.0,594569400.0,0.0,1,3037313656.0,0.0,2497622256.0,0.0,1,137784028.0,192662028.0,2026
2026,regular,TYPE_3,1.0055919790741517,18,2,2,5,27,2259307232.0,0.0,1557025832.0,0.0,702281400.0,0.0,1,2133963468.0,0.0,1459018868.0,0.0,1,98006964.0,125343764.0,2026
2027,regular,TYPE_1,1.0104340420447726,11,4,5,0,20,4520912344.0,0.0,3966613544.0,0.0,554298800.0,0.0,1,4222474984.0,0.0,3752537184.0,0.0,1,214076360.0,298437360.0,2027
2027,regular,TYPE_2,1.0104340420447726,12,2,4,5,23,3194525932.0,0.0,2599956532.0,0.0,594569400.0,0.0,1,3085319536.0,0.0,2545628136.0,0.0,1,54328396.0,109206396.0,2027
2027,regular,TYPE_3,1.0104340420447726,18,2,2,5,27,2231128328.0,0.0,1528846928.0,0.0,702281400.0,0.0,1,2156906856.0,0.0,1481962256.0,0.0,1,46884672.0,74221472.0,2027
2028,regular,TYPE_1,1.016023295833351,11,4,5,0,20,4608654700.0,0.0,4054355900.0,0.0,554298800.0,0.0,1,4250941656.0,0.0,3781003856.0,0.0,1,273352044.0,357713044.0,2028
2028,regular,TYPE_2,1.016023295833351,12,2,4,5,23,3225756456.0,0.0,2631187056.0,0.0,594569400.0,0.0,1,3079057332.0,0.0,2539365932.0,0.0,1,91821124.0,146699124.0,2028
2028,regular,TYPE_3,1.016023295833351,18,2,2,5,27,2266757324.0,0.0,1564475924.0,0.0,702281400.0,0.0,1,2189361044.0,0.0,1514416444.0,0.0,1,50059480.0,77396280.0,2028
2029,regular,TYPE_1,1.0213195738862437,11,4,5,0,20,4553933644.0,0.0,3999634844.0,0.0,554298800.0,0.0,1,4243259904.0,0.0,3773322104.0,0.0,1,226312740.0,310673740.0,2029
2029,regular,TYPE_2,1.0213195738862437,12,2,4,5,23,3228766112.0,0.0,2634196712.0,0.0,594569400.0,0.0,1,3105487476.0,0.0,2565796076.0,0.0,1,68400636.0,123278636.0,2029
2029,regular,TYPE_3,1.0213195738862437,18,2,2,5,27,2269254312.0,0.0,1566972912.0,0.0,702281400.0,0.0,1,2110957992.0,0.0,1436013392.0,0.0,1,130959520.0,158296320.0,2029
2030,regular,TYPE_1,1.026488431886469,11,4,5,0,20,4495575396.0,0.0,3941276596.0,0.0,554298800.0,0.0,1,4263427532.0,0.0,3793489732.0,0.0,1,147786864.0,232147864.0,2030
2030,regular,TYPE_2,1.026488431886469,12,2,4,5,23,3250738036.0,0.0,2656168636.0,0.0,594569400.0,0.0,1,3050823828.0,0.0,2511132428.0,0.0,1,145036208.0,199914208.0,2030
2030,regular,TYPE_3,1.026488431886469,18,2,2,5,27,2220083580.0,0.0,1517802180.0,0.0,702281400.0,0.0,1,2158539292.0,0.0,1483594692.0,0.0,1,34207488.0,61544288.0,2030
