year,segment,day_type,demand_factor,regular,express,priority,self_checkout,total_lanes,profit_mean,profit_std,objetivo_mean,objetivo_std,infra_cost_clp,objective_minus_profit_gap,n_rep,base_profit_mean,base_profit_std,base_objetivo_mean,base_objetivo_std,base_n_rep,objetivo_delta_vs_base,profit_delta_vs_base,year_num
2025,base,TYPE_1,1.0,10,3,2,5,20,0.0,0.0,0.0,0.0,510310600.0,510310600.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025
2025,base,TYPE_2,1.0,10,3,2,5,20,0.0,0.0,0.0,0.0,510310600.0,510310600.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025
2025,base,TYPE_3,1.0,15,3,2,5,25,0.0,0.0,0.0,0.0,647505600.0,647505600.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025
2026,optimista,TYPE_1,1.01256711294606,10,3,2,5,20,4207243872.0,0.0,3696933272.0,0.0,510310600.0,0.0,1,4215496566.6666665,34501765.63498195,3705185966.6666665,34501765.63498195,3,-8252694.666666508,-8252694.666666508,2026
2026,optimista,TYPE_2,1.01256711294606,10,3,2,5,20,2938170248.0,0.0,2427859648.0,0.0,510310600.0,0.0,1,2932522632.0,22660497.687499806,2422212032.0,22660497.687499806,3,5647616.0,5647616.0,2026
2026,optimista,TYPE_3,1.01256711294606,15,3,2,5,25,2043925156.0,0.0,1396419556.0,0.0,647505600.0,0.0,1,2066532364.0,23167257.871587306,1419026764.0,23167257.871587306,3,-22607208.0,-22607208.0,2026
2026,pesimista,TYPE_1,0.9958267130191806,10,3,2,5,20,4207243872.0,0.0,3696933272.0,0.0,510310600.0,0.0,1,4215496566.6666665,34501765.63498195,3705185966.6666665,34501765.63498195,3,-8252694.666666508,-8252694.666666508,2026
2026,pesimista,TYPE_2,0.9958267130191806,10,3,2,5,20,2938170248.0,0.0,2427859648.0,0.0,510310600.0,0.0,1,2932522632.0,22660497.687499806,2422212032.0,22660497.687499806,3,5647616.0,5647616.0,2026
2026,pesimista,TYPE_3,0.9958267130191806,15,3,2,5,25,2043925156.0,0.0,1396419556.0,0.0,647505600.0,0.0,1,2066532364.0,23167257.871587306,1419026764.0,23167257.871587306,3,-22607208.0,-22607208.0,2026
2026,regular,TYPE_1,1.0055919790741517,10,3,2,5,20,4207243872.0,0.0,3696933272.0,0.0,510310600.0,0.0,1,4215496566.6666665,34501765.63498195,3705185966.6666665,34501765.63498195,3,-8252694.666666508,-8252694.666666508,2026
2026,regular,TYPE_2,1.0055919790741517,10,3,2,5,20,2938170248.0,0.0,2427859648.0,0.0,510310600.0,0.0,1,2932522632.0,22660497.687499806,2422212032.0,22660497.687499806,3,5647616.0,5647616.0,2026
2026,regular,TYPE_3,1.0055919790741517,15,3,2,5,25,2043925156.0,0.0,1396419556.0,0.0,647505600.0,0.0,1,2066532364.0,23167257.871587306,1419026764.0,23167257.871587306,3,-22607208.0,-22607208.0,2026
2027,optimista,TYPE_1,1.0252946702967407,10,3,2,5,20,4207243872.0,0.0,3696933272.0,0.0,510310600.0,0.0,1,4215496566.6666665,34501765.63498195,3705185966.6666665,34501765.63498195,3,-8252694.666666508,-8252694.666666508,2027
2027,optimista,TYPE_2,1.0252946702967407,10,3,2,5,20,2938170248.0,0.0,2427859648.0,0.0,510310600.0,0.0,1,2932522632.0,22660497.687499806,2422212032.0,22660497.687499806,3,5647616.0,5647616.0,2027
2027,optimista,TYPE_3,1.0252946702967407,15,3,2,5,25,2043925156.0,0.0,1396419556.0,0.0,647505600.0,0.0,1,2066532364.0,23167257.871587306,1419026764.0,23167257.871587306,3,-22607208.0,-22607208.0,2027
2027,pesimista,TYPE_1,0.9950799377508609,10,3,2,5,20,4207243872.0,0.0,3696933272.0,0.0,510310600.0,0.0,1,4215496566.6666665,34501765.63498195,3705185966.6666665,34501765.63498195,3,-8252694.666666508,-8252694.666666508,2027
2027,pesimista,TYPE_2,0.9950799377508609,10,3,2,5,20,2938170248.0,0.0,2427859648.0,0.0,510310600.0,0.0,1,2932522632.0,22660497.687499806,2422212032.0,22660497.687499806,3,5647616.0,5647616.0,2027
2027,pesimista,TYPE_3,0.9950799377508609,15,3,2,5,25,2043925156.0,0.0,1396419556.0,0.0,647505600.0,0.0,1,2066532364.0,23167257.871587306,1419026764.0,23167257.871587306,3,-22607208.0,-22607208.0,2027
2027,regular,TYPE_1,1.0104340420447726,10,3,2,5,20,4207243872.0,0.0,3696933272.0,0.0,510310600.0,0.0,1,4215496566.6666665,34501765.63498195,3705185966.6666665,34501765.63498195,3,-8252694.666666508,-8252694.666666508,2027
