profile,priority,payment_method,day_type,count,mean,median,min_queue,max_queue,estimated_threshold
deal_hunter,no_priority,card,tipo_1,715,0.06573426573426573,0.0,0.0,2.0,0.0
deal_hunter,no_priority,card,tipo_2,282,0.06382978723404255,0.0,0.0,1.0,0.0
deal_hunter,no_priority,card,tipo_3,277,0.5703971119133574,0.0,0.0,3.0,0.0
deal_hunter,no_priority,cash,tipo_1,396,0.07575757575757576,0.0,0.0,2.0,0.0
deal_hunter,no_priority,cash,tipo_2,132,0.06818181818181818,0.0,0.0,1.0,0.0
deal_hunter,no_priority,cash,tipo_3,129,0.5968992248062015,0.0,0.0,3.0,0.0
deal_hunter,pregnant,card,tipo_3,6,2.0,2.0,2.0,2.0,2.0
deal_hunter,pregnant,cash,tipo_3,2,2.0,2.0,2.0,2.0,2.0
deal_hunter,reduced_mobility,card,tipo_1,1,1.0,1.0,1.0,1.0,1.0
deal_hunter,reduced_mobility,card,tipo_2,7,1.0,1.0,1.0,1.0,1.0
deal_hunter,reduced_mobility,card,tipo_3,20,1.05,1.0,1.0,2.0,1.0
deal_hunter,reduced_mobility,cash,tipo_2,1,1.0,1.0,1.0,1.0,1.0
deal_hunter,reduced_mobility,cash,tipo_3,7,1.2857142857142858,1.0,1.0,2.0,1.0
deal_hunter,senior,card,tipo_2,1,2.0,2.0,2.0,2.0,2.0
deal_hunter,senior,card,tipo_3,8,2.0,2.0,2.0,2.0,2.0
deal_hunter,senior,cash,tipo_2,1,2.0,2.0,2.0,2.0,2.0
deal_hunter,senior,cash,tipo_3,3,2.0,2.0,2.0,2.0,2.0
express_basket,no_priority,card,tipo_1,675,0.056296296296296296,0.0,0.0,2.0,0.0
express_basket,no_priority,card,tipo_2,88,0.056818181818181816,0.0,0.0,1.0,0.0
express_basket,no_priority,card,tipo_3,263,0.6007604562737643,0.0,0.0,3.0,0.0
express_basket,no_priority,cash,tipo_1,189,0.06878306878306878,0.0,0.0,2.0,0.0
express_basket,no_priority,cash,tipo_2,24,0.125,0.0,0.0,1.0,0.0
express_basket,no_priority,cash,tipo_3,99,0.6868686868686869,1.0,0.0,3.0,1.0
express_basket,pregnant,card,tipo_3,1,2.0,2.0,2.0,2.0,2.0
express_basket,reduced_mobility,card,tipo_1,1,1.0,1.0,1.0,1.0,1.0
express_basket,reduced_mobility,card,tipo_2,8,1.0,1.0,1.0,1.0,1.0
express_basket,reduced_mobility,card,tipo_3,41,1.0975609756097562,1.0,1.0,2.0,1.0
express_basket,reduced_mobility,cash,tipo_2,2,1.0,1.0,1.0,1.0,1.0
express_basket,reduced_mobility,cash,tipo_3,7,1.2857142857142858,1.0,1.0,2.0,1.0
express_basket,senior,card,tipo_3,4,2.0,2.0,2.0,2.0,2.0
express_basket,senior,cash,tipo_3,4,2.0,2.0,2.0,2.0,2.0
regular,no_priority,card,tipo_1,12,0.0,0.0,0.0,0.0,0.0
regular,no_priority,cash,tipo_1,1,0.0,0.0,0.0,0.0,0.0
regular,reduced_mobility,card,tipo_3,1,3.0,3.0,3.0,3.0,3.0
self_checkout_fan,no_priority,card,tipo_1,39,0.07692307692307693,0.0,0.0,1.0,0.0
self_checkout_fan,no_priority,card,tipo_3,2,1.0,1.0,0.0,2.0,1.0
self_checkout_fan,no_priority,cash,tipo_3,2,1.5,1.5,0.0,3.0,1.5
self_checkout_fan,reduced_mobility,card,tipo_3,3,2.0,2.0,2.0,2.0,2.0
