profile,priority,payment_method,day_type,lane_type,count,estimated_threshold
deal_hunter,no_priority,card,tipo_3,regular,8,3.0
deal_hunter,no_priority,cash,tipo_3,regular,2,3.0
deal_hunter,pregnant,card,tipo_3,priority,1,2.0
deal_hunter,pregnant,card,tipo_3,regular,5,2.0
deal_hunter,pregnant,cash,tipo_3,regular,2,2.0
deal_hunter,reduced_mobility,card,tipo_1,priority,1,1.0
deal_hunter,reduced_mobility,card,tipo_2,priority,1,1.0
deal_hunter,reduced_mobility,card,tipo_2,regular,6,1.0
deal_hunter,reduced_mobility,card,tipo_3,priority,8,1.0
deal_hunter,reduced_mobility,card,tipo_3,regular,12,1.0
deal_hunter,reduced_mobility,cash,tipo_2,priority,1,1.0
deal_hunter,reduced_mobility,cash,tipo_3,priority,4,1.0
deal_hunter,reduced_mobility,cash,tipo_3,regular,3,2.0
deal_hunter,senior,card,tipo_2,regular,1,2.0
deal_hunter,senior,card,tipo_3,priority,1,2.0
deal_hunter,senior,card,tipo_3,regular,7,2.0
deal_hunter,senior,cash,tipo_2,regular,1,2.0
deal_hunter,senior,cash,tipo_3,regular,3,2.0
express_basket,no_priority,card,tipo_3,regular,6,3.0
express_basket,no_priority,cash,tipo_3,regular,2,3.0
express_basket,pregnant,card,tipo_3,regular,1,2.0
express_basket,reduced_mobility,card,tipo_1,priority,1,1.0
express_basket,reduced_mobility,card,tipo_2,regular,8,1.0
express_basket,reduced_mobility,card,tipo_3,priority,25,1.0
express_basket,reduced_mobility,card,tipo_3,regular,16,1.0
express_basket,reduced_mobility,cash,tipo_2,priority,1,1.0
express_basket,reduced_mobility,cash,tipo_2,regular,1,1.0
express_basket,reduced_mobility,cash,tipo_3,priority,2,1.0
express_basket,reduced_mobility,cash,tipo_3,regular,5,1.0
express_basket,senior,card,tipo_3,priority,1,2.0
express_basket,senior,card,tipo_3,regular,3,2.0
express_basket,senior,cash,tipo_3,regular,4,2.0
regular,reduced_mobility,card,tipo_3,regular,1,3.0
self_checkout_fan,no_priority,card,tipo_3,priority,2,1.0
self_checkout_fan,no_priority,cash,tipo_3,priority,2,2.0
self_checkout_fan,reduced_mobility,card,tipo_3,priority,1,2.0
self_checkout_fan,reduced_mobility,card,tipo_3,regular,2,2.0
