method,profile,priority,payment_method,day_type,n_obs,distribution,params,ks_pvalue,ks_statistic,aic,bic,log_likelihood,x_seconds,density
param,deal_hunter,no_priority,card,tipo_1,4108,genpareto,"[-0.05045823788503602, 0.0, 146.28164794207078]",0.7499501498215371,0.010514289652216624,48768.58038608189,48787.54246079504,-24381.290193040946,,
param,deal_hunter,no_priority,card,tipo_2,17234,genpareto,"[-0.07872604660145711, 0.0, 135.838028063217]",0.22328863016377065,0.007963243457299526,201048.78810224618,201072.05202061357,-100521.39405112309,,
param,deal_hunter,no_priority,card,tipo_3,3132,genpareto,"[-0.11604823369156066, 0.0, 180.18423897512827]",0.6814150264326352,0.012773499518529907,38078.1643520107,38096.31263318203,-19036.08217600535,,
param,deal_hunter,no_priority,cash,tipo_1,2107,genpareto,"[-0.059337023314336074, 0.0, 143.27491081563727]",0.9170647398878029,0.012026492735667582,24891.474226997263,24908.433288238677,-12442.737113498632,,
param,deal_hunter,no_priority,cash,tipo_2,8831,genpareto,"[-0.05050317049406078, 0.0, 132.0300113856641]",0.47913760450689313,0.00893022341872085,103020.0721029992,103041.33017361161,-51507.0360514996,,
param,deal_hunter,no_priority,cash,tipo_3,1563,genpareto,"[-0.14564290626222837, 0.0, 182.4490192798088]",0.7653994901190244,0.016763361232492058,18952.14755648324,18968.210643474504,-9473.07377824162,,
param,deal_hunter,pregnant,card,tipo_1,30,norm,"[90.09717705458995, 73.28008152954835]",0.6305776512185834,0.13144487375420444,346.79364196873865,349.59603673206294,-171.39682098436933,,
param,deal_hunter,pregnant,card,tipo_2,142,genpareto,"[0.14397403600676317, 0.0, 66.92075191671273]",0.9066256641094469,0.04633237302182758,1524.685156157697,1533.5526373305008,-759.3425780788485,,
param,deal_hunter,pregnant,card,tipo_3,47,genpareto,"[-0.3269091834279343, 0.0, 135.39403000834534]",0.913995564589135,0.07827158524062139,530.6403179660153,536.1907607711455,-262.3201589830077,,
param,deal_hunter,pregnant,cash,tipo_2,55,gamma,"[1.1927216359709691, 0.0, 83.55347991072125]",0.9867004438475359,0.05829713250116919,621.1707570705639,627.1927566262614,-307.58537853528196,,
param,deal_hunter,reduced_mobility,card,tipo_2,39,genpareto,"[-0.07081825496145885, 0.0, 87.68984271278332]",0.9332781192193461,0.08254294163934713,427.4330670241931,432.42375196258206,-210.71653351209656,,
param,deal_hunter,senior,card,tipo_2,166,genpareto,"[0.1681261154862518, 0.0, 62.91617281958467]",0.9345584980786786,0.04079130425925623,1768.896410542045,1778.2323739071146,-881.4482052710225,,
param,deal_hunter,senior,card,tipo_3,93,genpareto,"[-0.07219674177847006, 0.0, 145.29401207844256]",0.8078790218667047,0.064640360003349,1104.6206912232217,1112.2184897026814,-549.3103456116108,,
