source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-04,35.71648393981013,queue_request,1,express_basket,no_priority,9,card,REG-1,regular,0,no_priority,219.19370863408508,0,0,0,
Week-01-Day-04,63.84805641607818,queue_request,2,regular,no_priority,52,card,REG-2,regular,0,no_priority,212.3697736356043,0,0,0,
Week-01-Day-04,88.02277832428445,queue_request,3,family_cart,no_priority,72,cash,REG-3,regular,0,no_priority,661.4626014167674,0,0,0,
Week-01-Day-04,35.71648393981013,service_start,1,express_basket,no_priority,9,card,REG-1,regular,1,no_priority,219.19370863408508,64.86008246374385,0,1438,
Week-01-Day-04,100.57656640355398,service_end,1,express_basket,no_priority,9,card,REG-1,regular,1,no_priority,219.19370863408508,64.86008246374385,0,1438,
Week-01-Day-04,125.80075584206133,queue_request,4,weekly_planner,no_priority,36,cash,REG-1,regular,0,no_priority,439.43678081891903,0,0,0,
Week-01-Day-04,177.12429026126847,queue_request,5,deal_hunter,no_priority,20,card,REG-4,regular,0,no_priority,210.7013744699159,0,0,0,
Week-01-Day-04,216.73994634639894,queue_request,6,express_basket,no_priority,4,card,REG-5,regular,0,no_priority,543.6920527085256,0,0,0,
Week-01-Day-04,218.02843984280844,queue_request,7,family_cart,no_priority,83,card,REG-6,regular,0,no_priority,46.992378098041385,0,0,0,
Week-01-Day-04,63.84805641607818,service_start,2,regular,no_priority,52,card,REG-2,regular,1,no_priority,212.3697736356043,198.77901777161827,0,11011,
Week-01-Day-04,262.62707418769645,service_end,2,regular,no_priority,52,card,REG-2,regular,1,no_priority,212.3697736356043,198.77901777161827,0,11011,
Week-01-Day-04,125.80075584206133,service_start,4,weekly_planner,no_priority,36,cash,REG-1,regular,1,no_priority,439.43678081891903,138.20518319258377,0,11673,
Week-01-Day-04,264.0059390346451,service_end,4,weekly_planner,no_priority,36,cash,REG-1,regular,1,no_priority,439.43678081891903,138.20518319258377,0,11673,
Week-01-Day-04,216.73994634639894,service_start,6,express_basket,no_priority,4,card,REG-5,regular,1,no_priority,543.6920527085256,58.96381459309761,0,1842,
Week-01-Day-04,275.70376093949653,service_end,6,express_basket,no_priority,4,card,REG-5,regular,1,no_priority,543.6920527085256,58.96381459309761,0,1842,
Week-01-Day-04,177.12429026126847,service_start,5,deal_hunter,no_priority,20,card,REG-4,regular,1,no_priority,210.7013744699159,106.82498614645174,0,5212,
Week-01-Day-04,283.9492764077202,service_end,5,deal_hunter,no_priority,20,card,REG-4,regular,1,no_priority,210.7013744699159,106.82498614645174,0,5212,
Week-01-Day-04,88.02277832428445,service_start,3,family_cart,no_priority,72,cash,REG-3,regular,1,no_priority,661.4626014167674,263.965671159928,0,20568,
Week-01-Day-04,351.9884494842124,service_end,3,family_cart,no_priority,72,cash,REG-3,regular,1,no_priority,661.4626014167674,263.965671159928,0,20568,
Week-01-Day-04,355.5654880603943,queue_request,8,family_cart,no_priority,71,cash,REG-1,regular,0,no_priority,218.5142479569214,0,0,0,
Week-01-Day-04,384.57083947282445,queue_request,9,express_basket,no_priority,2,card,REG-2,regular,0,no_priority,9.522702948581204,0,0,0,
Week-01-Day-04,430.05135137166144,queue_request,10,express_basket,no_priority,4,card,REG-3,regular,0,no_priority,30.35284752539807,0,0,0,
Week-01-Day-04,384.57083947282445,service_start,9,express_basket,no_priority,2,card,REG-2,regular,1,no_priority,9.522702948581204,68.66173347769373,0,303,
Week-01-Day-04,453.23257295051815,service_end,9,express_basket,no_priority,2,card,REG-2,regular,1,no_priority,9.522702948581204,68.66173347769373,0,303,
Week-01-Day-04,430.05135137166144,service_start,10,express_basket,no_priority,4,card,REG-3,regular,1,no_priority,30.35284752539807,56.65388509561413,0,2391,
Week-01-Day-04,486.70523646727554,service_end,10,express_basket,no_priority,4,card,REG-3,regular,1,no_priority,30.35284752539807,56.65388509561413,0,2391,
Week-01-Day-04,493.4657257959261,queue_request,11,family_cart,no_priority,65,card,REG-2,regular,0,no_priority,1019.9918372690878,0,0,0,
Week-01-Day-04,218.02843984280844,service_start,7,family_cart,no_priority,83,card,REG-6,regular,1,no_priority,46.992378098041385,321.95015879867896,0,27049,
Week-01-Day-04,539.9785986414875,service_end,7,family_cart,no_priority,83,card,REG-6,regular,1,no_priority,46.992378098041385,321.95015879867896,0,27049,
Week-01-Day-04,355.5654880603943,service_start,8,family_cart,no_priority,71,cash,REG-1,regular,1,no_priority,218.5142479569214,249.01291505563734,0,16567,
Week-01-Day-04,604.5784031160316,service_end,8,family_cart,no_priority,71,cash,REG-1,regular,1,no_priority,218.5142479569214,249.01291505563734,0,16567,
Week-01-Day-04,619.8339885982496,queue_request,12,weekly_planner,no_priority,36,cash,REG-1,regular,0,no_priority,192.11505286097437,0,0,0,
Week-01-Day-04,686.669533484157,queue_request,13,express_basket,no_priority,11,card,REG-3,regular,0,no_priority,65.24409258868663,0,0,0,
Week-01-Day-04,693.6576624773843,queue_request,14,deal_hunter,no_priority,5,card,REG-4,regular,0,no_priority,34.93629016658766,0,0,0,
Week-01-Day-04,749.0388497399763,queue_request,15,family_cart,no_priority,59,cash,REG-5,regular,0,no_priority,2674.7399915656183,0,0,0,
Week-01-Day-04,755.1040174301961,queue_request,16,express_basket,no_priority,7,card,REG-6,regular,0,no_priority,61.68858865455193,0,0,0,
Week-01-Day-04,686.669533484157,service_start,13,express_basket,no_priority,11,card,REG-3,regular,1,no_priority,65.24409258868663,72.40321043792822,0,4016,
Week-01-Day-04,759.0727439220852,service_end,13,express_basket,no_priority,11,card,REG-3,regular,1,no_priority,65.24409258868663,72.40321043792822,0,4016,
Week-01-Day-04,693.6576624773843,service_start,14,deal_hunter,no_priority,5,card,REG-4,regular,1,no_priority,34.93629016658766,72.95930717094755,0,2202,
Week-01-Day-04,766.6169696483319,service_end,14,deal_hunter,no_priority,5,card,REG-4,regular,1,no_priority,34.93629016658766,72.95930717094755,0,2202,
Week-01-Day-04,755.1040174301961,service_start,16,express_basket,no_priority,7,card,REG-6,regular,1,no_priority,61.68858865455193,36.08187867027235,0,3421,
Week-01-Day-04,791.1858961004684,service_end,16,express_basket,no_priority,7,card,REG-6,regular,1,no_priority,61.68858865455193,36.08187867027235,0,3421,
Week-01-Day-04,619.8339885982496,service_start,12,weekly_planner,no_priority,36,cash,REG-1,regular,1,no_priority,192.11505286097437,202.84063765019377,0,10679,
Week-01-Day-04,822.6746262484434,service_end,12,weekly_planner,no_priority,36,cash,REG-1,regular,1,no_priority,192.11505286097437,202.84063765019377,0,10679,
Week-01-Day-04,928.2759530928342,queue_request,17,family_cart,no_priority,168,card,REG-1,regular,0,no_priority,471.7648180313949,0,0,0,
Week-01-Day-04,493.4657257959261,service_start,11,family_cart,no_priority,65,card,REG-2,regular,1,no_priority,1019.9918372690878,452.0133954898547,0,20709,
Week-01-Day-04,945.4791212857808,service_end,11,family_cart,no_priority,65,card,REG-2,regular,1,no_priority,1019.9918372690878,452.0133954898547,0,20709,
Week-01-Day-04,985.2836980159082,queue_request,18,deal_hunter,no_priority,4,cash,REG-2,regular,0,no_priority,73.71633211043616,0,0,0,
Week-01-Day-04,749.0388497399763,service_start,15,family_cart,no_priority,59,cash,REG-5,regular,1,no_priority,2674.7399915656183,256.6301627189831,0,22056,
Week-01-Day-04,1005.6690124589594,service_end,15,family_cart,no_priority,59,cash,REG-5,regular,1,no_priority,2674.7399915656183,256.6301627189831,0,22056,
Week-01-Day-04,1016.7176388359694,queue_request,19,express_basket,no_priority,13,card,REG-3,regular,0,no_priority,98.86607767615205,0,0,0,
Week-01-Day-04,985.2836980159082,service_start,18,deal_hunter,no_priority,4,cash,REG-2,regular,1,no_priority,73.71633211043616,51.896397280598705,0,1726,
Week-01-Day-04,1037.1800952965068,service_end,18,deal_hunter,no_priority,4,cash,REG-2,regular,1,no_priority,73.71633211043616,51.896397280598705,0,1726,
Week-01-Day-04,1057.425877666472,queue_request,20,express_basket,no_priority,21,cash,REG-2,regular,0,no_priority,67.37161995425629,0,0,0,
Week-01-Day-04,1016.7176388359694,service_start,19,express_basket,no_priority,13,card,REG-3,regular,1,no_priority,98.86607767615205,94.98993652277791,0,4037,
Week-01-Day-04,1111.7075753587474,service_end,19,express_basket,no_priority,13,card,REG-3,regular,1,no_priority,98.86607767615205,94.98993652277791,0,4037,
Week-01-Day-04,1114.0346765241848,queue_request,21,express_basket,no_priority,6,card,REG-3,regular,0,no_priority,325.10509044649143,0,0,0,
Week-01-Day-04,1129.02955771927,queue_request,22,express_basket,no_priority,11,card,REG-4,regular,0,no_priority,253.67455415093343,0,0,0,
Week-01-Day-04,1148.6296529291903,queue_request,23,express_basket,no_priority,8,card,REG-5,regular,0,no_priority,109.20909135213255,0,0,0,
Week-01-Day-04,1057.425877666472,service_start,20,express_basket,no_priority,21,cash,REG-2,regular,1,no_priority,67.37161995425629,108.95519626609776,0,7046,
Week-01-Day-04,1166.3810739325697,service_end,20,express_basket,no_priority,21,cash,REG-2,regular,1,no_priority,67.37161995425629,108.95519626609776,0,7046,
Week-01-Day-04,1148.6296529291903,service_start,23,express_basket,no_priority,8,card,REG-5,regular,1,no_priority,109.20909135213255,39.518668488225856,0,2525,
Week-01-Day-04,1188.1483214174161,service_end,23,express_basket,no_priority,8,card,REG-5,regular,1,no_priority,109.20909135213255,39.518668488225856,0,2525,
Week-01-Day-04,1114.0346765241848,service_start,21,express_basket,no_priority,6,card,REG-3,regular,1,no_priority,325.10509044649143,75.87675108386398,0,221,
Week-01-Day-04,1189.9114276080488,service_end,21,express_basket,no_priority,6,card,REG-3,regular,1,no_priority,325.10509044649143,75.87675108386398,0,221,
Week-01-Day-04,1129.02955771927,service_start,22,express_basket,no_priority,11,card,REG-4,regular,1,no_priority,253.67455415093343,81.10897632011739,0,3471,
Week-01-Day-04,1210.1385340393874,service_end,22,express_basket,no_priority,11,card,REG-4,regular,1,no_priority,253.67455415093343,81.10897632011739,0,3471,
Week-01-Day-04,1225.535320012641,queue_request,24,regular,no_priority,50,card,REG-2,regular,0,no_priority,448.18880696181776,0,0,0,
Week-01-Day-04,1299.20853848954,queue_request,25,regular,no_priority,7,card,REG-3,regular,0,no_priority,71.89374143237708,0,0,0,
Week-01-Day-04,1337.503110723701,queue_request,26,express_basket,no_priority,9,card,REG-4,regular,0,no_priority,410.8912233868563,0,0,0,
Week-01-Day-04,1337.503110723701,service_start,26,express_basket,no_priority,9,card,REG-4,regular,1,no_priority,410.8912233868563,40.09638811316091,0,1265,
Week-01-Day-04,1377.5994988368618,service_end,26,express_basket,no_priority,9,card,REG-4,regular,1,no_priority,410.8912233868563,40.09638811316091,0,1265,
Week-01-Day-04,1378.5425898900685,queue_request,27,express_basket,no_priority,7,card,REG-4,regular,0,no_priority,53.08082706982644,0,0,0,
Week-01-Day-04,1299.20853848954,service_start,25,regular,no_priority,7,card,REG-3,regular,1,no_priority,71.89374143237708,85.58833704854106,0,0,
Week-01-Day-04,1384.796875538081,service_end,25,regular,no_priority,7,card,REG-3,regular,1,no_priority,71.89374143237708,85.58833704854106,0,0,
Week-01-Day-04,1378.5425898900685,service_start,27,express_basket,no_priority,7,card,REG-4,regular,1,no_priority,53.08082706982644,59.64306522297699,0,3272,
Week-01-Day-04,1438.1856551130454,service_end,27,express_basket,no_priority,7,card,REG-4,regular,1,no_priority,53.08082706982644,59.64306522297699,0,3272,
Week-01-Day-04,1442.7481420023323,queue_request,28,express_basket,no_priority,11,card,REG-3,regular,0,no_priority,313.02631787518436,0,0,0,
Week-01-Day-04,1225.535320012641,service_start,24,regular,no_priority,50,card,REG-2,regular,1,no_priority,448.18880696181776,230.53483619674145,0,16778,
Week-01-Day-04,1456.0701562093825,service_end,24,regular,no_priority,50,card,REG-2,regular,1,no_priority,448.18880696181776,230.53483619674145,0,16778,
Week-01-Day-04,1475.244332212329,queue_request,29,express_basket,no_priority,7,card,REG-2,regular,0,no_priority,17.050930122308213,0,0,0,
Week-01-Day-04,1475.244332212329,service_start,29,express_basket,no_priority,7,card,REG-2,regular,1,no_priority,17.050930122308213,44.74674462028888,0,2784,
Week-01-Day-04,1519.9910768326179,service_end,29,express_basket,no_priority,7,card,REG-2,regular,1,no_priority,17.050930122308213,44.74674462028888,0,2784,
Week-01-Day-04,928.2759530928342,service_start,17,family_cart,no_priority,168,card,REG-1,regular,1,no_priority,471.7648180313949,598.0886976448821,0,49799,
Week-01-Day-04,1526.3646507377164,service_end,17,family_cart,no_priority,168,card,REG-1,regular,1,no_priority,471.7648180313949,598.0886976448821,0,49799,
Week-01-Day-04,1442.7481420023323,service_start,28,express_basket,no_priority,11,card,REG-3,regular,1,no_priority,313.02631787518436,97.67895821708392,0,1863,
Week-01-Day-04,1540.4271002194162,service_end,28,express_basket,no_priority,11,card,REG-3,regular,1,no_priority,313.02631787518436,97.67895821708392,0,1863,
Week-01-Day-04,1602.4521015367973,queue_request,30,deal_hunter,no_priority,3,cash,REG-1,regular,0,no_priority,454.84481119653145,0,0,0,
Week-01-Day-04,1620.883157240718,queue_request,31,family_cart,no_priority,116,cash,REG-2,regular,0,no_priority,1616.450864783982,0,0,0,
Week-01-Day-04,1655.1310817422345,queue_request,32,weekly_planner,no_priority,68,card,REG-3,regular,0,no_priority,258.33267817477747,0,0,0,
Week-01-Day-04,1602.4521015367973,service_start,30,deal_hunter,no_priority,3,cash,REG-1,regular,1,no_priority,454.84481119653145,55.73992790711003,0,203,
