source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-06,2,express_basket,no_priority,18,card,125.85267962175203,125.85267962175203,194.62407535840464,0.0,68.7713957366526,68.77139573665261,8,0,,,18,3595,,REG-2,regular,no_priority,116.0993006198803,served,,,0
Week-01-Day-06,1,weekly_planner,no_priority,47,cash,54.969242998122354,54.969242998122354,239.48809135832906,0.0,184.5188483602067,184.5188483602067,8,0,,,47,11068,,REG-1,regular,no_priority,2918.85673760995,served,,,0
Week-01-Day-06,3,regular,no_priority,27,card,274.1531605048258,274.1531605048258,478.8565968464443,0.0,204.7034363416185,204.7034363416185,8,0,,,27,3864,,REG-1,regular,no_priority,198.4603066880758,served,,,0
Week-01-Day-06,4,regular,no_priority,31,card,396.1135305595126,396.1135305595126,553.8163544806566,0.0,157.70282392114405,157.70282392114405,8,0,,,31,7017,,REG-2,regular,no_priority,576.5275457491078,served,,,0
Week-01-Day-06,5,regular,no_priority,6,card,429.7511948026695,429.7511948026695,591.1220302033705,0.0,161.37083540070105,161.37083540070103,8,0,,,6,62,,REG-3,regular,no_priority,546.9847765639468,served,,,0
Week-01-Day-06,7,self_checkout_fan,no_priority,7,card,757.2211409962583,757.2211409962583,822.9810639144558,0.0,65.75992291819755,65.7599229181975,8,0,,,7,764,,REG-2,regular,no_priority,263.7894076326581,served,,,0
Week-01-Day-06,6,regular,no_priority,13,card,625.4334422446009,625.4334422446009,924.9354037716628,0.0,299.50196152706184,299.5019615270619,8,0,,,13,1039,,REG-1,regular,no_priority,484.74267279670386,served,,,0
Week-01-Day-06,8,regular,no_priority,40,card,788.7285909202255,788.7285909202255,948.0389007477308,0.0,159.31030982750536,159.3103098275053,8,0,,,40,4965,,REG-3,regular,no_priority,596.606835814041,served,,,0
Week-01-Day-06,9,regular,no_priority,30,card,852.8344075382338,852.8344075382338,964.9462546168735,0.0,112.11184707863973,112.1118470786397,8,0,,,30,4853,,REG-2,regular,no_priority,778.3034033969377,served,,,0
Week-01-Day-06,10,regular,no_priority,31,cash,858.0848977073183,858.0848977073183,988.1735686101343,0.0,130.08867090281606,130.08867090281603,8,0,,,31,6610,,REG-4,regular,no_priority,739.7970429285388,served,,,0
Week-01-Day-06,11,express_basket,no_priority,4,card,1221.0044315223095,1221.0044315223095,1291.4323602055754,0.0,70.42792868326583,70.42792868326592,8,0,,,4,782,,REG-1,regular,no_priority,292.6516970995344,served,,,0
Week-01-Day-06,12,express_basket,no_priority,6,card,1279.1775342703695,1279.1775342703695,1413.0586037116275,0.0,133.88106944125795,133.88106944125798,8,0,,,6,956,,REG-2,regular,no_priority,973.1144719802719,served,,,0
Week-01-Day-06,13,regular,no_priority,10,card,1436.281821411725,1436.281821411725,1534.190160623793,0.0,97.90833921206796,97.90833921206786,8,0,,,10,0,,REG-1,regular,no_priority,306.51124850623376,served,,,0
Week-01-Day-06,14,express_basket,no_priority,7,card,1502.8802712554389,1502.8802712554389,1557.1081731513757,0.0,54.22790189593693,54.22790189593684,8,0,,,7,2196,,REG-2,regular,no_priority,814.7513216028646,served,,,0
Week-01-Day-06,15,regular,no_priority,33,card,1510.113378306618,1510.113378306618,1641.0237702366878,0.0,130.9103919300698,130.91039193006986,8,0,,,33,6848,,REG-3,regular,no_priority,636.678002164509,served,,,0
Week-01-Day-06,18,express_basket,no_priority,9,card,1656.8221404746655,1656.8221404746655,1690.4183818044494,0.0,33.59624132978378,33.59624132978388,8,0,,,9,1724,,REG-2,regular,no_priority,311.5312764712884,served,,,0
Week-01-Day-06,17,regular,senior,15,card,1643.6020450214419,1643.6020450214419,1700.2569162433988,0.0,56.65487122195694,56.65487122195691,8,0,,,15,2680,,REG-1,regular,senior,1229.0683243964882,served,,,0
Week-01-Day-06,19,express_basket,no_priority,9,card,1685.0785325886682,1685.0785325886682,1736.2252967571494,0.0,51.14676416848135,51.14676416848124,8,0,,,9,1622,,REG-3,regular,no_priority,91.83137428364887,served,,,0
Week-01-Day-06,16,weekly_planner,no_priority,52,cash,1532.796199735949,1532.796199735949,1794.1843389931391,0.0,261.3881392571903,261.38813925719023,8,0,,,52,9883,,REG-4,regular,no_priority,655.5163173600396,served,,,0
Week-01-Day-06,22,self_checkout_fan,no_priority,4,card,2015.1066213262966,2015.1066213262966,2048.7345783137075,0.0,33.62795698741094,33.627956987410926,8,0,,,4,1020,,REG-3,regular,no_priority,842.2676055117695,served,,,0
Week-01-Day-06,20,family_cart,no_priority,89,cash,1746.624255673436,1746.624255673436,2081.137215182879,0.0,334.5129595094433,334.51295950944314,8,0,,,89,15529,,REG-1,regular,no_priority,3195.5526734837945,served,,,0
Week-01-Day-06,23,express_basket,no_priority,6,cash,2020.7415908815638,2020.7415908815638,2093.5619702526405,0.0,72.82037937107671,72.8203793710768,8,0,,,6,1399,,REG-4,regular,no_priority,37.81678469116852,served,,,0
Week-01-Day-06,21,weekly_planner,no_priority,105,cash,1805.7275549373808,1805.7275549373808,2108.192344098363,0.0,302.464789160982,302.46478916098204,8,0,,,105,20280,,REG-2,regular,no_priority,704.096416618417,served,,,0
Week-01-Day-06,24,express_basket,no_priority,14,cash,2131.9743761331774,2131.9743761331774,2206.9532254360915,0.0,74.9788493029139,74.97884930291411,8,0,,,14,2877,,REG-1,regular,no_priority,79.30652895459494,served,,,0
Week-01-Day-06,25,deal_hunter,no_priority,20,cash,2362.922673471072,2362.922673471072,2488.7965530554898,0.0,125.87387958441786,125.87387958441786,8,0,,,20,3032,,REG-1,regular,no_priority,85.98733601601471,served,,,0
Week-01-Day-06,29,self_checkout_fan,no_priority,3,card,2604.917998652367,2604.917998652367,2627.598601772124,0.0,22.680603119756857,22.680603119757052,8,0,,,3,665,,REG-4,regular,no_priority,47.065238795002756,served,,,0
Week-01-Day-06,27,regular,no_priority,20,cash,2572.9474029459343,2572.9474029459343,2693.0716122527388,0.0,120.12420930680463,120.12420930680446,8,0,,,20,5299,,REG-1,regular,no_priority,47.09896393208931,served,,,0
Week-01-Day-06,26,family_cart,no_priority,83,card,2381.036894131659,2381.036894131659,2712.4361393923996,0.0,331.3992452607404,331.3992452607404,8,0,,,83,14902,,REG-2,regular,no_priority,1398.6646915294232,served,,,0
Week-01-Day-06,28,family_cart,no_priority,72,card,2580.1128142888483,2580.1128142888483,2849.5264887496674,0.0,269.41367446081887,269.41367446081904,8,0,,,72,18069,,REG-3,regular,no_priority,170.51490784872055,served,,,0
Week-01-Day-06,32,deal_hunter,no_priority,13,cash,2853.470583707196,2853.470583707196,2937.430160554362,0.0,83.95957684716582,83.95957684716586,8,0,,,13,2390,,REG-3,regular,no_priority,365.0739864715237,served,,,0
Week-01-Day-06,31,regular,no_priority,38,card,2817.257579217003,2817.257579217003,2992.1123287379114,0.0,174.85474952090874,174.85474952090863,8,0,,,38,5499,,REG-2,regular,no_priority,1082.814987668022,served,,,0
Week-01-Day-06,33,self_checkout_fan,no_priority,27,card,2861.9917064800356,2861.9917064800356,2993.410070946343,0.0,131.41836446630714,131.41836446630714,8,0,,,27,5937,,REG-4,regular,no_priority,299.62823321240074,served,,,0
Week-01-Day-06,30,weekly_planner,no_priority,74,card,2811.7314894329866,2811.7314894329866,3131.1367238932858,0.0,319.40523446029914,319.4052344602992,8,0,,,74,9622,,REG-1,regular,no_priority,494.8781609370637,served,,,0
Week-01-Day-06,35,express_basket,no_priority,1,cash,3204.54754630923,3204.54754630923,3270.279222288237,0.0,65.7316759790072,65.73167597900738,8,0,,,1,347,,REG-2,regular,no_priority,626.40031293879,served,,,0
Week-01-Day-06,39,express_basket,no_priority,8,card,3365.7681071695806,3365.7681071695806,3421.796236225638,0.0,56.02812905605729,56.02812905605742,8,0,,,8,1985,,REG-5,regular,no_priority,12.468773299008639,served,,,0
Week-01-Day-06,34,family_cart,no_priority,62,cash,3158.634143239531,3158.634143239531,3436.816580782592,0.0,278.18243754306087,278.18243754306104,8,0,,,62,14708,,REG-1,regular,no_priority,635.3257489219395,served,,,0
Week-01-Day-06,38,self_checkout_fan,no_priority,20,card,3364.6752922621927,3364.6752922621927,3475.595530176459,0.0,110.92023791426611,110.92023791426618,8,0,,,20,5354,,REG-4,regular,no_priority,228.81204700643443,served,,,0
Week-01-Day-06,37,family_cart,no_priority,54,cash,3287.3697970826797,3287.3697970826797,3517.580248105175,0.0,230.21045102249533,230.21045102249536,8,0,,,54,12428,,REG-2,regular,no_priority,1461.205017456956,served,,,0
Week-01-Day-06,36,weekly_planner,no_priority,78,cash,3243.9056782002262,3243.9056782002262,3591.836445823019,0.0,347.9307676227925,347.9307676227927,8,0,,,78,12256,,REG-3,regular,no_priority,548.3506790037422,served,,,0
Week-01-Day-06,40,express_basket,no_priority,6,card,3550.319934525858,3550.319934525858,3603.839781869277,0.0,53.519847343418704,53.51984734341886,8,0,,,6,155,,REG-1,regular,no_priority,743.6687196248314,served,,,0
Week-01-Day-06,41,express_basket,senior,1,card,3612.8290597114355,3612.8290597114355,3629.265944007309,0.0,16.436884295873543,16.43688429587337,9,0,,,1,1938,,REG-1,regular,senior,91.18428492020284,served,,,0
Week-01-Day-06,43,regular,no_priority,12,card,3713.3393902340467,3713.3393902340467,3743.3532293839617,0.0,30.0138391499149,30.01383914991493,9,0,,,12,3653,,REG-2,regular,no_priority,518.4548198855142,served,,,0
Week-01-Day-06,44,family_cart,no_priority,43,card,3715.3396074130796,3715.3396074130796,3839.5033368085906,0.0,124.16372939551108,124.16372939551093,9,0,,,43,7364,,REG-3,regular,no_priority,1366.824865347368,served,,,0
Week-01-Day-06,45,express_basket,no_priority,5,card,3768.5709144068023,3768.5709144068023,3839.902045410536,0.0,71.33113100373382,71.33113100373384,9,0,,,5,700,,REG-2,regular,no_priority,55.713959571414236,served,,,0
Week-01-Day-06,42,family_cart,no_priority,62,cash,3638.619843601198,3638.619843601198,3897.552980758447,0.0,258.9331371572489,258.9331371572489,9,0,,,62,15647,,REG-1,regular,no_priority,813.7205096609208,served,,,0
Week-01-Day-06,48,express_basket,no_priority,2,card,3852.046645711718,3852.046645711718,3916.5815777860703,0.0,64.53493207435207,64.53493207435213,9,0,,,2,401,,REG-2,regular,no_priority,382.66077964514,served,,,0
Week-01-Day-06,50,express_basket,no_priority,5,cash,3894.599950897882,3894.599950897882,3953.665837957318,0.0,59.065887059436356,59.065887059436136,9,0,,,5,1180,,REG-6,regular,no_priority,153.32491758042866,served,,,0
Week-01-Day-06,47,regular,no_priority,66,card,3821.2129703487008,3821.2129703487008,4024.007377672699,0.0,202.79440732399834,202.79440732399826,9,0,,,66,15290,,REG-5,regular,no_priority,84.3437432498591,served,,,0
