source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-04,1,self_checkout_fan,no_priority,7,card,18.028292842096562,18.028292842096562,94.22488348281645,0.0,76.19659064071989,76.19659064071989,8,0,,,7,3113,,REG-1,regular,no_priority,266.8118952498436,served,,,0
Week-01-Day-04,2,regular,no_priority,16,card,91.7252008626383,91.7252008626383,104.03796504026809,0.0,12.31276417762979,12.312764177629788,8,0,,,16,3638,,REG-2,regular,no_priority,121.16844881569578,served,,,0
Week-01-Day-04,3,regular,no_priority,42,card,257.97779702816115,257.97779702816115,429.8126536287622,0.0,171.834856600601,171.83485660060103,8,0,,,42,12053,,REG-1,regular,no_priority,1787.3435408729658,served,,,0
Week-01-Day-04,9,self_checkout_fan,no_priority,10,card,404.59423657873776,404.59423657873776,464.4265599402945,0.0,59.83232336155675,59.832323361556746,8,0,,,10,3659,,REG-7,regular,no_priority,270.56331606239826,served,,,0
Week-01-Day-04,6,deal_hunter,no_priority,36,card,324.512401952823,324.512401952823,477.03734590115505,0.0,152.5249439483321,152.52494394833207,8,0,,,36,10621,,REG-4,regular,no_priority,363.14838097244274,served,,,0
Week-01-Day-04,4,regular,no_priority,42,cash,311.49651663667464,311.49651663667464,492.8641030036041,0.0,181.36758636692943,181.36758636692946,8,0,,,42,9119,,REG-2,regular,no_priority,357.34498697916075,served,,,0
Week-01-Day-04,10,express_basket,no_priority,3,card,445.80027653566503,445.80027653566503,511.7208264815557,0.0,65.92054994589071,65.92054994589068,8,0,,,3,1363,,REG-1,regular,no_priority,810.5626127782846,served,,,0
Week-01-Day-04,8,regular,no_priority,26,card,366.91594786411224,366.91594786411224,511.7591849685423,0.0,144.84323710443007,144.84323710443005,8,0,,,26,6636,,REG-6,regular,no_priority,914.0592971413951,served,,,0
Week-01-Day-04,5,family_cart,no_priority,63,card,319.66254310873046,319.66254310873046,618.1837741054233,0.0,298.5212309966928,298.5212309966928,8,0,,,63,13144,,REG-3,regular,no_priority,64.74750201553633,served,,,0
Week-01-Day-04,7,weekly_planner,no_priority,53,card,337.9241298396046,337.9241298396046,670.4287458532203,0.0,332.50461601361576,332.50461601361576,8,0,,,53,19552,,REG-5,regular,no_priority,1010.1731698251075,served,,,0
Week-01-Day-04,11,self_checkout_fan,no_priority,15,card,654.6720963421321,654.6720963421321,756.0304666251632,0.0,101.35837028303105,101.35837028303104,8,0,,,15,5725,,REG-1,regular,no_priority,329.2491518299881,served,,,0
Week-01-Day-04,12,express_basket,no_priority,1,card,796.4322700158409,796.4322700158409,815.4322700158409,0.0,19.0,19.0,8,0,,,1,0,,REG-1,regular,no_priority,80.20231695641569,served,,,0
Week-01-Day-04,13,self_checkout_fan,no_priority,9,card,797.6784779340014,797.6784779340014,890.2967143673186,0.0,92.61823643331716,92.61823643331718,8,0,,,9,2640,,REG-2,regular,no_priority,104.1821694293692,served,,,0
Week-01-Day-04,14,express_basket,no_priority,16,card,830.1410192800249,830.1410192800249,951.0055008603528,0.0,120.86448158032786,120.86448158032783,8,0,,,16,7237,,REG-1,regular,no_priority,70.36260469731202,served,,,0
Week-01-Day-04,15,self_checkout_fan,no_priority,15,card,919.5477634133022,919.5477634133022,1017.4878781112825,0.0,97.9401146979803,97.94011469798033,8,0,,,15,5245,,REG-2,regular,no_priority,44.12527675837733,served,,,0
Week-01-Day-04,16,express_basket,no_priority,7,card,963.5741486671941,963.5741486671941,1039.6428898212284,0.0,76.06874115403436,76.06874115403434,8,0,,,7,2312,,REG-1,regular,no_priority,380.15132178820284,served,,,0
Week-01-Day-04,19,self_checkout_fan,no_priority,4,card,1163.9752450206615,1163.9752450206615,1203.1160873262334,0.0,39.14084230557182,39.14084230557182,8,0,,,4,455,,REG-3,regular,no_priority,135.9508198424066,served,,,0
Week-01-Day-04,18,weekly_planner,no_priority,24,card,1097.4532998122158,1097.4532998122158,1211.393643672526,0.0,113.9403438603101,113.94034386031012,8,0,,,24,9044,,REG-2,regular,no_priority,389.20865951185084,served,,,0
Week-01-Day-04,20,self_checkout_fan,senior,6,card,1245.4022373884509,1245.4022373884509,1283.2048620584708,0.0,37.80262467001984,37.802624670019895,8,0,,,6,1321,,REG-2,regular,senior,173.3809824425011,served,,,0
Week-01-Day-04,21,weekly_planner,no_priority,46,card,1388.1515524276692,1388.1515524276692,1564.1752223923797,0.0,176.0236699647105,176.0236699647105,8,0,,,46,10200,,REG-2,regular,no_priority,113.6894164905424,served,,,0
Week-01-Day-04,22,deal_hunter,no_priority,9,card,1555.3474842387186,1555.3474842387186,1591.2288372625176,0.0,35.88135302379899,35.881353023798965,8,0,,,9,1635,,REG-3,regular,no_priority,0.7123838824507757,served,,,0
Week-01-Day-04,17,family_cart,no_priority,198,card,1056.4295241506552,1056.4295241506552,1643.0391527749289,0.0,586.6096286242737,586.6096286242737,8,0,,,198,61458,,REG-1,regular,no_priority,902.0413248013052,served,,,0
Week-01-Day-04,23,regular,no_priority,40,card,1601.7491826811347,1601.7491826811347,1772.634154308981,0.0,170.8849716278462,170.8849716278462,8,0,,,40,13420,,REG-2,regular,no_priority,664.9892637620078,served,,,0
Week-01-Day-04,25,family_cart,no_priority,45,cash,1676.9991702020452,1676.9991702020452,1851.0165339285022,0.0,174.0173637264569,174.017363726457,8,0,,,45,12590,,REG-1,regular,no_priority,17.992281642964855,served,,,0
Week-01-Day-04,24,family_cart,no_priority,74,card,1636.8933355721529,1636.8933355721529,2029.2515502690278,0.0,392.358214696875,392.35821469687494,8,0,,,74,22039,,REG-3,regular,no_priority,226.71870960139574,served,,,0
Week-01-Day-04,26,family_cart,senior,28,cash,1914.8438104538109,1914.8438104538109,2098.7346843191585,0.0,183.89087386534777,183.89087386534766,8,0,,,28,11525,,REG-1,regular,senior,214.23984972048277,served,,,0
Week-01-Day-04,27,self_checkout_fan,no_priority,19,card,1962.8448976448562,1962.8448976448562,2105.0784302358716,0.0,142.2335325910153,142.23353259101532,8,0,,,19,5860,,REG-2,regular,no_priority,581.2921004806876,served,,,0
Week-01-Day-04,28,family_cart,no_priority,61,card,1970.489480571363,1970.489480571363,2197.663304786818,0.0,227.17382421545494,227.17382421545517,8,0,,,61,23238,,REG-4,regular,no_priority,12.081047177432424,served,,,0
Week-01-Day-04,29,express_basket,pregnant,3,cash,2121.3728120015803,2121.3728120015803,2234.5438904004222,0.0,113.17107839884177,113.17107839884193,8,0,,,3,56,,REG-1,regular,pregnant,179.6898871841277,served,,,0
Week-01-Day-04,31,express_basket,no_priority,3,card,2365.565629978195,2365.565629978195,2398.791869019881,0.0,33.226239041685766,33.22623904168586,8,0,,,3,1919,,REG-1,regular,no_priority,38.534471764305216,served,,,0
Week-01-Day-04,30,family_cart,no_priority,67,cash,2231.9903920284414,2231.9903920284414,2538.672284600547,0.0,306.6818925721056,306.6818925721054,8,0,,,67,16993,,REG-2,regular,no_priority,84.32818142979315,served,,,0
Week-01-Day-04,34,self_checkout_fan,no_priority,15,card,2664.615069366737,2664.615069366737,2754.0876356252443,0.0,89.47256625850726,89.47256625850741,8,0,,,15,3868,,REG-3,regular,no_priority,656.7451655472546,served,,,0
Week-01-Day-04,32,regular,no_priority,21,card,2511.6945272750418,2511.6945272750418,2757.152485953903,0.0,245.4579586788616,245.45795867886136,8,0,,,21,5477,,REG-1,regular,no_priority,254.00712382945224,served,,,0
Week-01-Day-04,33,weekly_planner,no_priority,29,cash,2655.5987915771802,2655.5987915771802,2787.261839132737,0.0,131.66304755555646,131.66304755555666,8,0,,,29,8786,,REG-2,regular,no_priority,461.3195126040905,served,,,0
Week-01-Day-04,35,express_basket,no_priority,4,card,2786.672381946144,2786.672381946144,2839.8545994638057,0.0,53.182217517661776,53.182217517661684,8,0,,,4,1278,,REG-1,regular,no_priority,8.159554569290247,served,,,0
Week-01-Day-04,36,deal_hunter,no_priority,11,card,2808.8463468435693,2808.8463468435693,2898.855082321621,0.0,90.00873547805175,90.00873547805168,8,0,,,11,5177,,REG-2,regular,no_priority,270.02228493594214,served,,,0
Week-01-Day-04,38,regular,no_priority,24,card,2957.8267205377997,2957.8267205377997,3145.9796621201904,0.0,188.1529415823907,188.15294158239067,8,0,,,24,9268,,REG-2,regular,no_priority,19.196201408326914,served,,,0
Week-01-Day-04,37,family_cart,no_priority,92,card,2849.5680688817374,2849.5680688817374,3146.734290797124,0.0,297.16622191538636,297.16622191538636,8,0,,,92,26133,,REG-1,regular,no_priority,727.4257431622091,served,,,0
Week-01-Day-04,41,regular,no_priority,36,card,3003.303881130967,3003.303881130967,3156.1439722547493,0.0,152.84009112378234,152.84009112378226,8,0,,,36,9279,,REG-5,regular,no_priority,519.1493707180211,served,,,0
Week-01-Day-04,39,regular,no_priority,31,card,2965.5255216409387,2965.5255216409387,3184.5639504903697,0.0,219.0384288494309,219.03842884943106,8,0,,,31,8617,,REG-3,regular,no_priority,311.22294409484584,served,,,0
Week-01-Day-04,40,regular,no_priority,34,card,2999.7785898360635,2999.7785898360635,3262.2651751619246,0.0,262.48658532586126,262.48658532586114,8,0,,,34,8984,,REG-4,regular,no_priority,161.46305859470803,served,,,0
Week-01-Day-04,42,family_cart,no_priority,53,cash,3069.3131402507715,3069.3131402507715,3288.8860626247147,0.0,219.57292237394307,219.57292237394313,8,0,,,53,10325,,REG-6,regular,no_priority,988.9042348504399,served,,,0
Week-01-Day-04,44,self_checkout_fan,no_priority,17,card,3368.6563693362223,3368.6563693362223,3454.9058249624277,0.0,86.24945562620553,86.24945562620542,8,0,,,17,4952,,REG-2,regular,no_priority,99.8290446188356,served,,,0
Week-01-Day-04,43,family_cart,no_priority,84,card,3169.389407614315,3169.389407614315,3513.8157432127723,0.0,344.4263355984573,344.4263355984572,8,0,,,84,22350,,REG-1,regular,no_priority,425.45997668107617,served,,,0
Week-01-Day-04,45,regular,no_priority,23,card,3372.7941507720498,3372.7941507720498,3520.513073826384,0.0,147.7189230543342,147.71892305433403,8,0,,,23,8916,,REG-3,regular,no_priority,98.97955719525551,served,,,0
Week-01-Day-04,46,deal_hunter,no_priority,32,card,3564.7690949560347,3564.7690949560347,3709.8044966287616,0.0,145.03540167272678,145.03540167272695,8,0,,,32,7721,,REG-1,regular,no_priority,165.66344895104353,served,,,0
Week-01-Day-04,47,self_checkout_fan,no_priority,8,card,3739.003441143701,3739.003441143701,3808.9045806176355,0.0,69.90113947393452,69.90113947393456,9,0,,,8,2145,,REG-1,regular,no_priority,57.70213570175394,served,,,0
