source_folder,timestamp_s,event_type,customer_id,profile,priority,items,payment_method,lane_name,lane_type,effective_queue_length,queue_request_priority,patience_s,service_time_s,revenue_clp,profit_clp,reason
Week-01-Day-05,135.98785308370861,queue_request,1,weekly_planner,no_priority,58,card,REG-1,regular,0,no_priority,823.997011362651,0,0,0,
Week-01-Day-05,311.5198593107307,queue_request,2,express_basket,senior,5,cash,REG-2,regular,0,senior,83.29402841254107,0,0,0,
Week-01-Day-05,311.5198593107307,service_start,2,express_basket,senior,5,cash,REG-2,regular,1,senior,83.29402841254107,44.49999685693849,0,831,
Week-01-Day-05,356.01985616766916,service_end,2,express_basket,senior,5,cash,REG-2,regular,1,senior,83.29402841254107,44.49999685693849,0,831,
Week-01-Day-05,135.98785308370861,service_start,1,weekly_planner,no_priority,58,card,REG-1,regular,1,no_priority,823.997011362651,288.0670037667642,0,9332,
Week-01-Day-05,424.0548568504728,service_end,1,weekly_planner,no_priority,58,card,REG-1,regular,1,no_priority,823.997011362651,288.0670037667642,0,9332,
Week-01-Day-05,596.6602234914935,queue_request,3,weekly_planner,no_priority,77,cash,REG-1,regular,0,no_priority,109.41428585654027,0,0,0,
Week-01-Day-05,604.8165944940702,queue_request,4,self_checkout_fan,no_priority,11,card,REG-2,regular,0,no_priority,50.8527765769114,0,0,0,
Week-01-Day-05,610.8447293974459,queue_request,5,regular,no_priority,25,card,REG-3,regular,0,no_priority,29.45424194088078,0,0,0,
Week-01-Day-05,662.4013380273427,queue_request,6,express_basket,no_priority,4,cash,REG-4,regular,0,no_priority,95.98880050264589,0,0,0,
Week-01-Day-05,610.8447293974459,service_start,5,regular,no_priority,25,card,REG-3,regular,1,no_priority,29.45424194088078,88.22839360325719,0,7134,
Week-01-Day-05,699.0731230007032,service_end,5,regular,no_priority,25,card,REG-3,regular,1,no_priority,29.45424194088078,88.22839360325719,0,7134,
Week-01-Day-05,699.7421548302991,queue_request,7,family_cart,no_priority,72,card,REG-3,regular,0,no_priority,1047.688427106956,0,0,0,
Week-01-Day-05,604.8165944940702,service_start,4,self_checkout_fan,no_priority,11,card,REG-2,regular,1,no_priority,50.8527765769114,98.88496905505319,0,1322,
Week-01-Day-05,703.7015635491233,service_end,4,self_checkout_fan,no_priority,11,card,REG-2,regular,1,no_priority,50.8527765769114,98.88496905505319,0,1322,
Week-01-Day-05,731.9549738045971,queue_request,8,express_basket,no_priority,7,card,REG-2,regular,0,no_priority,1059.0677001734402,0,0,0,
Week-01-Day-05,756.7792872349855,queue_request,9,express_basket,no_priority,1,card,REG-5,regular,0,no_priority,418.02713457177964,0,0,0,
Week-01-Day-05,662.4013380273427,service_start,6,express_basket,no_priority,4,cash,REG-4,regular,1,no_priority,95.98880050264589,96.5814294523629,0,2048,
Week-01-Day-05,758.9827674797057,service_end,6,express_basket,no_priority,4,cash,REG-4,regular,1,no_priority,95.98880050264589,96.5814294523629,0,2048,
Week-01-Day-05,731.9549738045971,service_start,8,express_basket,no_priority,7,card,REG-2,regular,1,no_priority,1059.0677001734402,27.809592817250966,0,2224,
Week-01-Day-05,759.7645666218481,service_end,8,express_basket,no_priority,7,card,REG-2,regular,1,no_priority,1059.0677001734402,27.809592817250966,0,2224,
Week-01-Day-05,773.2483352266863,queue_request,10,express_basket,no_priority,21,card,REG-2,regular,0,no_priority,159.7978785152265,0,0,0,
Week-01-Day-05,788.1118181491765,queue_request,11,regular,no_priority,10,card,REG-4,regular,0,no_priority,94.74393719949211,0,0,0,
Week-01-Day-05,788.1118181491765,service_start,11,regular,no_priority,10,card,REG-4,regular,1,no_priority,94.74393719949211,60.7087060817791,0,2124,
Week-01-Day-05,848.8205242309557,service_end,11,regular,no_priority,10,card,REG-4,regular,1,no_priority,94.74393719949211,60.7087060817791,0,2124,
Week-01-Day-05,756.7792872349855,service_start,9,express_basket,no_priority,1,card,REG-5,regular,1,no_priority,418.02713457177964,110.28691852922773,0,514,
Week-01-Day-05,867.0662057642132,service_end,9,express_basket,no_priority,1,card,REG-5,regular,1,no_priority,418.02713457177964,110.28691852922773,0,514,
Week-01-Day-05,773.2483352266863,service_start,10,express_basket,no_priority,21,card,REG-2,regular,1,no_priority,159.7978785152265,136.8258088502049,0,4567,
Week-01-Day-05,910.0741440768912,service_end,10,express_basket,no_priority,21,card,REG-2,regular,1,no_priority,159.7978785152265,136.8258088502049,0,4567,
Week-01-Day-05,699.7421548302991,service_start,7,family_cart,no_priority,72,card,REG-3,regular,1,no_priority,1047.688427106956,282.60131771814235,0,12083,
Week-01-Day-05,982.3434725484415,service_end,7,family_cart,no_priority,72,card,REG-3,regular,1,no_priority,1047.688427106956,282.60131771814235,0,12083,
Week-01-Day-05,596.6602234914935,service_start,3,weekly_planner,no_priority,77,cash,REG-1,regular,1,no_priority,109.41428585654027,401.7807501261122,0,13172,
Week-01-Day-05,998.4409736176058,service_end,3,weekly_planner,no_priority,77,cash,REG-1,regular,1,no_priority,109.41428585654027,401.7807501261122,0,13172,
Week-01-Day-05,1248.736699252153,queue_request,12,self_checkout_fan,no_priority,14,card,REG-1,regular,0,no_priority,566.0391804273276,0,0,0,
Week-01-Day-05,1266.735012024561,queue_request,13,express_basket,no_priority,4,card,REG-2,regular,0,no_priority,162.0138290471476,0,0,0,
Week-01-Day-05,1293.766664414441,queue_request,14,express_basket,no_priority,11,card,REG-3,regular,0,no_priority,89.1858524767416,0,0,0,
Week-01-Day-05,1326.2684736364172,queue_request,15,family_cart,senior,111,card,REG-4,regular,0,senior,5.239004601661906,0,0,0,
Week-01-Day-05,1248.736699252153,service_start,12,self_checkout_fan,no_priority,14,card,REG-1,regular,1,no_priority,566.0391804273276,84.87572822424757,0,3790,
Week-01-Day-05,1333.6124274764004,service_end,12,self_checkout_fan,no_priority,14,card,REG-1,regular,1,no_priority,566.0391804273276,84.87572822424757,0,3790,
Week-01-Day-05,1293.766664414441,service_start,14,express_basket,no_priority,11,card,REG-3,regular,1,no_priority,89.1858524767416,50.11072077834363,0,2983,
Week-01-Day-05,1343.8773851927847,service_end,14,express_basket,no_priority,11,card,REG-3,regular,1,no_priority,89.1858524767416,50.11072077834363,0,2983,
Week-01-Day-05,1266.735012024561,service_start,13,express_basket,no_priority,4,card,REG-2,regular,1,no_priority,162.0138290471476,86.56010191212712,0,987,
Week-01-Day-05,1353.295113936688,service_end,13,express_basket,no_priority,4,card,REG-2,regular,1,no_priority,162.0138290471476,86.56010191212712,0,987,
Week-01-Day-05,1392.6204459061555,queue_request,16,regular,no_priority,30,cash,REG-1,regular,0,no_priority,144.91272924004946,0,0,0,
Week-01-Day-05,1462.3626359276022,queue_request,17,self_checkout_fan,senior,3,card,REG-2,regular,0,senior,1202.1469765540755,0,0,0,
Week-01-Day-05,1392.6204459061555,service_start,16,regular,no_priority,30,cash,REG-1,regular,1,no_priority,144.91272924004946,111.6012606887962,0,4766,
Week-01-Day-05,1504.2217065949517,service_end,16,regular,no_priority,30,cash,REG-1,regular,1,no_priority,144.91272924004946,111.6012606887962,0,4766,
Week-01-Day-05,1462.3626359276022,service_start,17,self_checkout_fan,senior,3,card,REG-2,regular,1,senior,1202.1469765540755,47.73339428329235,0,53,
Week-01-Day-05,1510.0960302108947,service_end,17,self_checkout_fan,senior,3,card,REG-2,regular,1,senior,1202.1469765540755,47.73339428329235,0,53,
Week-01-Day-05,1563.2293525222776,queue_request,18,family_cart,no_priority,108,cash,REG-1,regular,0,no_priority,519.6973594507606,0,0,0,
Week-01-Day-05,1629.0841973827592,queue_request,19,regular,no_priority,8,card,REG-2,regular,0,no_priority,153.3030101827781,0,0,0,
Week-01-Day-05,1646.675154898283,queue_request,20,regular,no_priority,29,card,REG-3,regular,0,no_priority,329.1939200064159,0,0,0,
Week-01-Day-05,1664.8037001792,queue_request,21,weekly_planner,no_priority,31,card,REG-5,regular,0,no_priority,986.9453458497482,0,0,0,
Week-01-Day-05,1326.2684736364172,service_start,15,family_cart,senior,111,card,REG-4,regular,1,senior,5.239004601661906,348.8459760368931,0,23300,
Week-01-Day-05,1675.1144496733102,service_end,15,family_cart,senior,111,card,REG-4,regular,1,senior,5.239004601661906,348.8459760368931,0,23300,
Week-01-Day-05,1646.675154898283,service_start,20,regular,no_priority,29,card,REG-3,regular,1,no_priority,329.1939200064159,110.2432044229804,0,7236,
Week-01-Day-05,1756.9183593212633,service_end,20,regular,no_priority,29,card,REG-3,regular,1,no_priority,329.1939200064159,110.2432044229804,0,7236,
Week-01-Day-05,1629.0841973827592,service_start,19,regular,no_priority,8,card,REG-2,regular,1,no_priority,153.3030101827781,138.62403592117772,0,2949,
Week-01-Day-05,1767.7082333039368,service_end,19,regular,no_priority,8,card,REG-2,regular,1,no_priority,153.3030101827781,138.62403592117772,0,2949,
Week-01-Day-05,1664.8037001792,service_start,21,weekly_planner,no_priority,31,card,REG-5,regular,1,no_priority,986.9453458497482,106.29547649811713,0,4263,
Week-01-Day-05,1771.099176677317,service_end,21,weekly_planner,no_priority,31,card,REG-5,regular,1,no_priority,986.9453458497482,106.29547649811713,0,4263,
Week-01-Day-05,1780.5053287414266,queue_request,22,weekly_planner,no_priority,70,card,REG-2,regular,0,no_priority,1308.6287959433644,0,0,0,
