source_folder,customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason,effective_queue_length
Week-01-Day-03,1,regular,no_priority,14,card,90.69129827349752,90.69129827349752,137.85644394153752,0.0,47.16514566803998,47.16514566804,8,0,,,14,2784,,REG-1,regular,no_priority,1282.3415307891648,served,,,0
Week-01-Day-03,2,express_basket,no_priority,9,card,98.08248788923447,98.08248788923447,158.59310996837414,0.0,60.510622079139665,60.510622079139665,8,0,,,9,1925,,REG-2,regular,no_priority,1140.5134219289184,served,,,0
Week-01-Day-03,4,express_basket,no_priority,10,card,383.23331295783646,383.23331295783646,441.4594641578244,0.0,58.22615119998798,58.22615119998795,8,0,,,10,1937,,REG-1,regular,no_priority,325.21560309235224,served,,,0
Week-01-Day-03,5,express_basket,no_priority,7,cash,431.68452022890415,431.68452022890415,508.83589870990386,0.0,77.1513784809997,77.15137848099971,8,0,,,7,1345,,REG-2,regular,no_priority,174.74333087573416,served,,,0
Week-01-Day-03,6,regular,no_priority,6,card,470.4994951117551,470.4994951117551,542.4295727996436,0.0,71.93007768788847,71.93007768788846,8,0,,,6,2312,,REG-1,regular,no_priority,447.618683521872,served,,,0
Week-01-Day-03,9,deal_hunter,no_priority,12,card,560.5026001472506,560.5026001472506,618.4185597551979,0.0,57.91595960794719,57.91595960794723,8,0,,,12,1888,,REG-1,regular,no_priority,42.64731255117024,served,,,0
Week-01-Day-03,11,express_basket,senior,5,card,577.6087518934946,577.6087518934946,630.7696977327233,0.0,53.16094583922865,53.1609458392287,8,0,,,5,1525,,REG-6,regular,senior,297.0750323356944,served,,,0
Week-01-Day-03,8,family_cart,no_priority,40,cash,533.694408703599,533.694408703599,708.694408703599,0.0,175.0,175.0,8,0,,,40,6044,,REG-4,regular,no_priority,52.49445206570612,served,,,0
Week-01-Day-03,7,weekly_planner,no_priority,74,card,512.6311565631695,512.6311565631695,765.4908685916268,0.0,252.85971202845732,252.85971202845735,8,0,,,74,15749,,REG-2,regular,no_priority,310.7157338656672,served,,,0
Week-01-Day-03,3,weekly_planner,no_priority,67,card,99.67188412577889,99.67188412577889,772.6575697674159,0.0,672.985685641637,672.985685641637,8,0,,,67,12211,,REG-3,regular,no_priority,1647.9919055703406,served,,,0
Week-01-Day-03,10,weekly_planner,no_priority,72,card,560.5631153674694,560.5631153674694,797.1812233307405,0.0,236.61810796327114,236.6181079632711,8,0,,,72,18915,,REG-5,regular,no_priority,841.127948712644,served,,,0
Week-01-Day-03,16,express_basket,no_priority,2,card,984.9534887081718,984.9534887081718,998.4196888659783,0.0,13.466200157806513,13.466200157806497,8,0,,,2,0,,REG-4,regular,no_priority,21.386838148769787,served,,,0
Week-01-Day-03,15,regular,no_priority,12,card,973.2228416740581,973.2228416740581,1003.1901328979583,0.0,29.967291223900087,29.967291223900133,8,0,,,12,329,,REG-3,regular,no_priority,199.87004046259506,served,,,0
Week-01-Day-03,14,family_cart,no_priority,49,card,839.2824112758644,839.2824112758644,1034.1709180157554,0.0,194.88850673989097,194.888506739891,8,0,,,49,9294,,REG-2,regular,no_priority,23.56968350534433,served,,,0
Week-01-Day-03,13,weekly_planner,no_priority,108,card,702.9143886648417,702.9143886648417,1118.4728406155896,0.0,415.55845195074784,415.5584519507479,8,0,,,108,19177,,REG-6,regular,no_priority,914.5140289517705,served,,,0
Week-01-Day-03,12,family_cart,no_priority,191,card,680.8433390193641,680.8433390193641,1291.0146032305138,0.0,610.1712642111497,610.1712642111497,8,0,,,191,37323,,REG-1,regular,no_priority,467.27885997843407,served,,,0
Week-01-Day-03,17,weekly_planner,no_priority,84,card,1053.7664495188837,1053.7664495188837,1362.7222189742442,0.0,308.95576945536044,308.9557694553605,8,0,,,84,18194,,REG-2,regular,no_priority,552.3855170484043,served,,,0
Week-01-Day-03,18,weekly_planner,senior,40,card,1108.3580270133716,1108.3580270133716,1371.5261568478134,0.0,263.1681298344417,263.16812983444174,8,0,,,40,6957,,REG-3,regular,senior,568.2570901299014,served,,,0
Week-01-Day-03,19,weekly_planner,no_priority,63,card,1230.7286557969019,1230.7286557969019,1474.9157137054754,0.0,244.18705790857356,244.18705790857348,8,0,,,63,10217,,REG-4,regular,no_priority,25.461688122905592,served,,,0
Week-01-Day-03,21,self_checkout_fan,no_priority,5,card,1477.1731379610137,1477.1731379610137,1526.284337835602,0.0,49.11119987458833,49.11119987458824,8,0,,,5,1279,,REG-2,regular,no_priority,457.8839224318824,served,,,0
Week-01-Day-03,22,self_checkout_fan,no_priority,11,card,1482.4894850105193,1482.4894850105193,1592.879468116905,0.0,110.38998310638576,110.38998310638567,8,0,,,11,3014,,REG-3,regular,no_priority,410.1076058503333,served,,,0
Week-01-Day-03,20,weekly_planner,no_priority,37,card,1456.2671617252017,1456.2671617252017,1650.4373498178284,0.0,194.17018809262672,194.17018809262663,8,0,,,37,7896,,REG-1,regular,no_priority,875.6817718527685,served,,,0
