method,profile,priority,payment_method,day_type,n_obs,distribution,params,ks_pvalue,ks_statistic,aic,bic,log_likelihood,x_seconds,density
param,deal_hunter,no_priority,card,tipo_1,35473,weibull_min,"[0.9891478775373662, 0.0, 299.46888702120475]",0.927451701207358,0.0028906102215087714,475811.2006797402,475836.63026110834,-237902.6003398701,,
param,deal_hunter,no_priority,card,tipo_2,125493,weibull_min,"[1.0013873410880825, 0.0, 300.9467397118822]",0.9805413836926057,0.0013217148676671897,1683205.1642798337,1683234.384295611,-841599.5821399168,,
param,deal_hunter,no_priority,card,tipo_3,16002,weibull_min,"[1.0024667519468833, 0.0, 301.80935511372354]",0.9767826805764677,0.0037604853495968316,214712.87707860098,214735.9184855812,-107353.43853930049,,
param,deal_hunter,no_priority,cash,tipo_1,11531,gamma,"[0.9924655584066234, 0.0, 301.80476570057385]",0.9309557074087748,0.00502974779151541,154572.11012068114,154594.16850370046,-77283.05506034057,,
param,deal_hunter,no_priority,cash,tipo_2,41519,weibull_min,"[0.991168501043537, 0.0, 297.44575585901214]",0.9904800656828221,0.002151376165008323,556274.3265231848,556300.2282424831,-278134.1632615924,,
param,deal_hunter,no_priority,cash,tipo_3,5187,gamma,"[1.0243413426073884, 0.0, 294.3890945155544]",0.8598672582968631,0.008345056746278945,69602.75562935557,69622.41736167863,-34798.377814677784,,
param,deal_hunter,pregnant,card,tipo_1,925,gamma,"[0.9831420333744652, 0.0, 258.3844816531343]",0.9874570822113569,0.014616080457846348,12100.103242791716,12114.592624004254,-6047.051621395858,,
param,deal_hunter,pregnant,card,tipo_2,3335,weibull_min,"[1.0106194392708692, 0.0, 252.90915275440332]",0.9799103156980871,0.00809206285360864,43551.21400389934,43569.55068777439,-21772.60700194967,,
param,deal_hunter,pregnant,card,tipo_3,461,gamma,"[0.9232198656246032, 0.0, 251.43666612021767]",0.7467897402264361,0.03124459639960915,5948.445873495185,5960.846067624175,-2971.2229367475925,,
param,deal_hunter,pregnant,cash,tipo_1,210,gamma,"[1.1677216686463372, 0.0, 222.9768538436159]",0.7870245367025014,0.04431252670580643,2759.052021634632,2769.0933442267847,-1376.526010817316,,
param,deal_hunter,pregnant,cash,tipo_2,853,gamma,"[0.9864699342468137, 0.0, 249.37933655841292]",0.6865056847102122,0.024281532154375535,11104.029066361294,11118.275345003769,-5549.014533180647,,
param,deal_hunter,pregnant,cash,tipo_3,108,weibull_min,"[1.0105709866601635, 0.0, 258.8521346616228]",0.8941857814756147,0.05399536900823554,1421.2332397971634,1429.279633478536,-707.6166198985817,,
param,deal_hunter,reduced_mobility,card,tipo_1,340,gamma,"[1.1650672822054156, 0.0, 197.35548262597368]",0.4755862680621582,0.045251529117184774,4378.911723594689,4390.398560447519,-2186.4558617973444,,
param,deal_hunter,reduced_mobility,card,tipo_2,1034,weibull_min,"[1.036230945369173, 0.0, 242.91621632793]",0.9547209694573328,0.015808649039286804,13401.300071196812,13416.123641362017,-6697.650035598406,,
param,deal_hunter,reduced_mobility,card,tipo_3,165,gamma,"[1.1769190869903543, 0.0, 238.8943171665262]",0.3033267056723218,0.07453111822677849,2194.2171372503462,2203.534973672048,-1094.1085686251731,,
param,deal_hunter,reduced_mobility,cash,tipo_1,136,gamma,"[0.9211334949031436, 0.0, 294.86073224327566]",0.9407100758689453,0.044372866624921015,1801.769485595566,1810.507450252774,-897.884742797783,,
param,deal_hunter,reduced_mobility,cash,tipo_2,414,gamma,"[1.0372602264625037, 0.0, 265.98868887109694]",0.7578730493748735,0.032614365210302476,5487.038824884996,5499.116422806472,-2740.519412442498,,
param,deal_hunter,reduced_mobility,cash,tipo_3,59,lognorm,"[1.0575178391385465, 0.0, 149.81710141706918]",0.786491365742987,0.08246227614183033,771.1448347262893,777.3774470580065,-382.57241736314467,,
param,deal_hunter,senior,card,tipo_1,1698,weibull_min,"[1.0043152038366139, 0.0, 268.50797436788434]",0.7082647716490337,0.016933790982540387,22389.276390660343,22405.58800976096,-11191.638195330172,,
param,deal_hunter,senior,card,tipo_2,5320,weibull_min,"[0.9947008272936206, 0.0, 269.56974167669296]",0.9224487192046763,0.00751461013170146,70220.04770915979,70239.7853949068,-35107.02385457989,,
param,deal_hunter,senior,card,tipo_3,916,gamma,"[1.0558557452776733, 0.0, 252.9728616624929]",0.9873265764134331,0.014700633610070124,12072.842004481263,12087.302053575286,-6033.421002240631,,
param,deal_hunter,senior,cash,tipo_1,775,gamma,"[1.0309941101989863, 0.0, 264.18351941662513]",0.9627444361650113,0.01781826967478828,10246.650305114452,10260.608894202513,-5120.325152557226,,
param,deal_hunter,senior,cash,tipo_2,2208,gamma,"[1.0399148341344493, 0.0, 248.79108426113677]",0.4974583276469703,0.017571433235803235,28954.059032505105,28971.158559727297,-14474.029516252553,,
param,deal_hunter,senior,cash,tipo_3,386,gamma,"[1.1682836594163184, 0.0, 223.43893812430215]",0.7882562075563047,0.03278775285914515,5068.307910175686,5080.17542228408,-2531.153955087843,,
