year,segment,day_type,demand_factor,regular,express,priority,self_checkout,total_lanes,profit_mean,profit_std,objetivo_mean,objetivo_std,infra_cost_clp,objective_minus_profit_gap,n_rep,base_profit_mean,base_profit_std,base_objetivo_mean,base_objetivo_std,base_n_rep,objetivo_delta_vs_base,profit_delta_vs_base,year_num
2025,base,TYPE_1,1.0,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2025
2025,base,TYPE_2,1.0,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2025
2025,base,TYPE_3,1.0,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2025
2026,optimista,TYPE_1,1.01256711294606,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2026
2026,optimista,TYPE_2,1.01256711294606,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2026
2026,optimista,TYPE_3,1.01256711294606,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2026
2026,pesimista,TYPE_1,0.9958267130191806,10,3,2,5,20,4167367126.0,56394235.01650707,3657056526.0,56394235.01650707,510310600.0,0.0,2,4167367126.0,56394235.01650707,3657056526.0,56394235.01650707,2,0.0,0.0,2026
2026,pesimista,TYPE_2,0.9958267130191806,10,3,2,5,20,2933258536.0,22113282.485795908,2422947936.0,22113282.485795908,510310600.0,0.0,2,2933258536.0,22113282.485795908,2422947936.0,22113282.485795908,2,0.0,0.0,2026
2026,pesimista,TYPE_3,0.9958267130191806,15,3,2,5,25,2030410382.0,1481776.2011019073,1382904782.0,1481776.2011019073,647505600.0,0.0,2,2030410382.0,1481776.2011019073,1382904782.0,1481776.2011019073,2,0.0,0.0,2026
2026,regular,TYPE_1,1.0055919790741517,10,3,2,5,20,4204286710.0,59530089.54229617,3693976110.0,59530089.54229617,510310600.0,0.0,2,4204286710.0,59530089.54229617,3693976110.0,59530089.54229617,2,0.0,0.0,2026
2026,regular,TYPE_2,1.0055919790741517,10,3,2,5,20,2972906690.0,7281952.509859427,2462596090.0,7281952.509859427,510310600.0,0.0,2,2972906690.0,7281952.509859427,2462596090.0,7281952.509859427,2,0.0,0.0,2026
2026,regular,TYPE_3,1.0055919790741517,15,3,2,5,25,2054078494.0,19554673.16661488,1406572894.0,19554673.16661488,647505600.0,0.0,2,2054078494.0,19554673.16661488,1406572894.0,19554673.16661488,2,0.0,0.0,2026
2027,optimista,TYPE_1,1.0252946702967407,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2027
2027,optimista,TYPE_2,1.0252946702967407,10,3,2,5,20,0.0,0.0,-inf,0.0,510310600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2027
2027,optimista,TYPE_3,1.0252946702967407,15,3,2,5,25,0.0,0.0,-inf,0.0,647505600.0,-inf,0,0.0,0.0,-inf,0.0,0,,0.0,2027
2027,pesimista,TYPE_1,0.9950799377508609,10,3,2,5,20,4165520684.0,7446863.953367753,3655210084.0,7446863.953367753,510310600.0,0.0,2,4165520684.0,7446863.953367753,3655210084.0,7446863.953367753,2,0.0,0.0,2027
2027,pesimista,TYPE_2,0.9950799377508609,10,3,2,5,20,2934719294.0,33978486.19084505,2424408694.0,33978486.19084505,510310600.0,0.0,2,2934719294.0,33978486.19084505,2424408694.0,33978486.19084505,2,0.0,0.0,2027
2027,pesimista,TYPE_3,0.9950799377508609,15,3,2,5,25,2034448052.0,2852728.9706020094,1386942452.0,2852728.9706020094,647505600.0,0.0,2,2034448052.0,2852728.9706020094,1386942452.0,2852728.9706020094,2,0.0,0.0,2027
2027,regular,TYPE_1,1.0104340420447726,10,3,2,5,20,4158336494.0,49901173.25814623,3648025894.0,49901173.25814623,510310600.0,0.0,2,4158336494.0,49901173.25814623,3648025894.0,49901173.25814623,2,0.0,0.0,2027
