lane_type,profile,count,service_time_mean_teo,service_time_mean_pred,multiplier
express,deal_hunter,83394,49.66237772475509,inf,0.0
express,express_basket,241047,46.22434245302935,45.87355774941677,1.007646773453429
express,family_cart,106,60.52369155182243,59.16141772219419,1.02302638919211
express,regular,13946,52.360457031036006,51.9870445510065,1.0071827987771673
express,self_checkout_fan,64947,47.055675634087216,46.717294234355705,1.0072431720474655
express,weekly_planner,820,55.84692612007898,54.03718714033452,1.033490621468593
priority,deal_hunter,6414,102.72042227681403,101.08860069562374,1.0161424885690493
priority,express_basket,5779,75.66546390036827,74.20653747651097,1.0196603489863558
priority,family_cart,8766,302.9292454891061,inf,0.0
priority,regular,7895,143.7918953995708,141.3106388784696,1.0175588797899011
priority,self_checkout_fan,2227,83.88526133226252,81.99700138170543,1.0230284024871472
priority,weekly_planner,8964,238.39207778945746,233.76655213280574,1.0197869439166982
regular,deal_hunter,91196,112.42154745915877,110.997171392678,1.0128325438262
regular,express_basket,57713,87.02246512987648,86.01774050248535,1.0116804350070332
regular,family_cart,157727,315.0669854660621,inf,0.0
regular,regular,147742,149.47339015789163,147.54146522152843,1.0130941151591688
regular,self_checkout_fan,29537,92.97951835888925,91.93496768768108,1.0113618430231759
regular,weekly_planner,156006,246.18206055374398,inf,0.0
self_checkout,deal_hunter,35722,96.87409698963448,95.64033337944979,1.0129000346045405
self_checkout,express_basket,78270,87.68356113494802,86.04698978160273,1.0190195073354582
self_checkout,family_cart,130,104.59328933402006,102.01533835347612,1.0252702291846694
self_checkout,regular,13704,105.39698968509816,104.73216509589406,1.0063478549173062
self_checkout,self_checkout_fan,28831,93.75709422559899,92.5454291327771,1.013092651945927
self_checkout,weekly_planner,1182,108.81409602974577,107.12782658832917,1.0157407229766418
